year,species,population,source
2002,Cattle,9656267,census
2002,Sheep,39545609,census
2002,Goats,153084,census
2002,Pigs,341377,census
2002,Horses,75856,census
2002,Deer,1643938,census
2012,Cattle,10180093,census
2012,Dairy Cattle,6445681,census
2012,Beef Cattle,3734412,census
2012,Sheep,31262715,census
2012,Goats,90096,census
2012,Pigs,313703,census
2012,Horses,56878,census
2012,Alpacas and Llamas,14168,census
2012,Ostriches and Emus,1177,census
2012,Deer,1060094,census
