year,species,population,source
2001,Cattle,15551449,Census
2001,Goats,182851,Census
2001,Sheep,1262448,Census
2001,Pigs,13958772,Census
2001,Wild Boars,33131,Census
2001,Horses,460569,Census
2001,Bison,15346,Census
2001,Elks,74478,Census
2001,Llamas/Alpacas,25782,Census
2001,Deer,53258,Census
2001,Minks,1349412,Census
2001,Foxes,145094,Census
2001,Rabbits,255762,Census
2001,Chickens,126159529,Census
2001,Turkeys,8115942,Census
2001,Other Fowls,5311918,Census
2011,Cattle,12789965,Census
2011,Bison,125142,Census
2011,Sheep,1108574,Census
2011,Goats,225461,Census
2011,Pigs,12679104,Census
2011,Horses,393340,Census
2011,Llamas/Alpacas,31499,Census
2011,Chickens,133026000,Census
2011,Turkeys,8022000,Census
2011,Rabbits,184935,Census
2011,Deer,20939,Census
2011,Minks,783185,Census
2011,Elks,31112,Census
2011,Wild Boars,9788,Census
2011,Bees (Colonies),561297,Census
