year,species,population,source
2004,Cattle,1305092,census
2004,Sheep,144528,census
2004,Goats,817179,census
2004,Horses,29280,census
2004,Asses,198087,census
2004,Chickens,463173,census
2004,Pigs,2129,census
2004,Ostrichs,1339,census
2015,Cattle,1744166,census
2015,Sheep,242432,census
2015,Goats,1205238,census
2015,Pigs,4398,census
2015,Horses,32337,census
2015,Asses and Mules,178400,census
2015,Chickens,760000,census
2015,Ostrichs,400,census
