year,species,population,source
2001,Cattle,27721000,census
2001,Buffaloes,7327,census
2001,Horses,223998,census
2001,Sheep,110928000,census
2001,Pigs,2748000,census
2001,Chickens,90973000,census
2010,Cattle,2850619,census
2010,Buffaloes,4414,census
2010,Sheep,73098761,census
2010,Goats,546613,census
2010,Pigs,2285214,census
2010,Horses,259467,census
2010,Chickens,90744000,census
2010,Ducks,1000000,census
2010,Turkeys,1203000,census
