year,species,population,source
2001,Cattle,7036101,Census
2001,Sheep,6891530,Census
2001,Goats,8100,Census
2001,Pigs,1722110,Census
2001,Horses,69937,Census
2001,"Mules, Asses",5027,Census
2001,Deer,12055,Census
2001,Poultry,13960771,Census
2010,Cattle,6606590,Census
2010,Sheep,4745420,Census
2010,Goats,10520,Census
2010,Pigs,1516290,Census
2010,Equines,106020,Census
2010,Broilers,7840000,Census
2010,Laying hens,390000,Census
