year,species,population,source
2000,Cattle,3766825,census
2000,Pigs,4961017,census
2000,Chickens,3576312,census
2015,Cattle,3692102,census
2015,Beef Cattle,2288824,census
2015,Dairy Cows,1403278,census
2015,Pigs,7881616,census
2015,Chickens,760008,census
2015,Hen,1514816,census
2015,Broilers,6085260,census
