year,species,population,source
2000,Cattle,8218000,Census
2000,Pigs,1218000,Census
2000,Sheep,23806000,Census
2000,Goats,4812000,Census
2000,Horses,244000,Census
2000,Ostriches,150000,Census
2000,Poultry,95300000,Census
2007,Cattle,5278785,Census
2007,Sheep,11817763,Census
2007,Goats,854187,Census
2007,Pigs,909521,Census
2007,Horses,20520,Census
2007,Poultry,243168000,Census
2007,Chickens,232855000,Census
2007,Ostriches,244000,Census
2007,Bees,41559,Census
