year,data from source,predicted data
5,1966,5088000.0,5600438.947631836
10,1971,7720000.0,6548349.286743164
14,1975,6030000.0,7404983.905883789
15,1976,5692000.0,7628688.529907227
16,1977,6197000.0,7855225.696411133
17,1978,6799000.0,8084102.482543945
19,1980,10091000.0,8546903.221313477
20,1981,10190000.0,8779841.32824707
33,1994,10533800.0,11662094.300170898
42,2003,14745000.0,13124599.278930664
43,2004,14725000.0,13241290.270385742
45,2006,15110000.0,13441271.442993164
