year,data from source,predicted data
1,1962,65031000.0,75954940.17382812
2,1963,67645000.0,75401806.81054688
8,1969,86680000.0,76474496.37304688
9,1970,94995000.0,77312741.66992188
10,1971,87537000.0,78318704.79492188
11,1972,91140000.0,79484623.13476562
12,1973,90832000.0,80802734.04101562
23,1984,92193000.0,103126550.17773438
24,1985,95385000.0,105665486.42382812
25,1986,98286000.0,108255700.99023438
31,1992,108000000.0,124439125.55273438
32,1993,115000000.0,127170934.58007812
