year,5 year avg,previous 5 year avg
1976,FAOSTAT,6.986397914982663,47.131103534520335
1981,FAOSTAT,47.131103534520335,2.168614230434534
1986,FAOSTAT,2.168614230434534,-20.671527849587758
1991,FAOSTAT,-20.671527849587758,-3.672241156379245
1996,FAOSTAT,-3.672241156379245,9.126755934392635
2006,FAOSTAT,9.003390838208427,2.479292031177101
2011,Census data,0,2.8324735759893223
2016,Census data,2.8324735759893223,0
