year,Src,5 year avg,Src,previous 5 year avg
2011,FAOSTAT,0.6463484167502964,WOAH,0.7828144911705807
2011,FAOSTAT,0.6463484167502964,Census,2.8324735759893223
2011,WOAH,0.7828144911705807,Census,2.8324735759893223
2016,FAOSTAT,3.136400554886835,WOAH,1.1560693641618496
