year,data from source,predicted data
4,1910,2245600.0,2545388.342010498
5,1911,2174300.0,2588751.572113037
6,1912,2171500.0,2628512.6438293457
7,1913,2333300.0,2664744.6758117676
8,1914,2310300.0,2697520.786804199
9,1915,2358600.0,2726914.095397949
10,1916,2333900.0,2752997.7203063965
11,1917,2421900.0,2775844.78024292
14,1920,3179100.0,2825697.7567443848
15,1921,3200500.0,2836329.743408203
18,1924,2498800.0,2851292.348297119
23,1929,3350300.0,2824172.6269836426
24,1930,3438000.0,2811598.141357422
25,1931,3627100.0,2796810.752166748
26,1932,3603900.0,2779883.578125
27,1933,3307400.0,2760889.737976074
28,1934,3291400.0,2739902.350250244
29,1935,3223900.0,2716994.5336608887
30,1936,3159400.0,2692239.4069519043
31,1937,3071200.0,2665710.0887756348
32,1938,3046800.0,2637479.697784424
33,1939,2911400.0,2607621.35256958
34,1940,2886600.0,2576208.1720581055
35,1941,2839800.0,2543313.274658203
36,1942,2971800.0,2509009.7792053223
37,1943,3107100.0,2473370.804321289
38,1944,3212900.0,2436469.4686584473
39,1945,3032200.0,2398378.890930176
40,1946,2791700.0,2359172.189880371
42,1948,2049900.0,2277702.8921813965
43,1949,1772900.0,2235586.532928467
44,1950,1578600.0,2192646.5249938965
45,1951,1461200.0,2148955.9870300293
46,1952,1534000.0,2104588.037750244
47,1953,1592500.0,2059615.7958374023
48,1954,1635600.0,2014112.37991333
49,1955,1634000.0,1968150.9086608887
50,1956,1619700.0,1921804.5007324219
51,1957,1628500.0,1875146.2749328613
52,1958,1629500.0,1828249.349822998
53,1959,1608500.0,1781186.844116211
56,1962,1449000.0,1639737.030090332
57,1963,1346000.0,1592743.388671875
58,1964,1272000.0,1545949.7600708008
59,1965,1132000.0,1499429.262878418
60,1966,1005500.0,1453255.0159301758
61,1967,922000.0,1407500.1376953125
62,1968,829200.0,1362237.746887207
63,1969,796000.0,1317540.9622802734
64,1970,796000.0,1273482.9025268555
65,1971,851300.0,1230136.6862792969
66,1972,826800.0,1187575.4322509766
67,1973,778800.0,1145872.2590942383
68,1974,729800.0,1105100.2854003906
69,1975,649600.0,1065332.6299438477
70,1976,577200.0,1026642.4113769531
71,1977,558600.0,989102.7484130859
72,1978,587200.0,952786.7596435547
73,1979,648700.0,917767.5638427734
74,1980,733800.0,884118.2795410156
82,1988,788900.0,673015.0642700195
83,1989,827500.0,654985.3247070312
84,1990,874400.0,639056.6836547852
85,1991,917800.0,625302.2596435547
86,1992,897100.0,613795.1712646484
87,1993,883000.0,604608.5371704102
88,1994,825600.0,597815.4763183594
89,1995,857600.0,593489.1071777344
90,1996,846700.0,591702.5484008789
91,1997,821500.0,592528.918762207
92,1998,892000.0,596041.3367919922
93,1999,979000.0,602312.9213867188
94,2000,1105300.0,611416.791015625
95,2001,1247700.0,623426.0645141602
96,2002,1252100.0,638413.8604125977
97,2003,1247200.0,656453.2974243164
98,2004,1240500.0,677617.4943847656
99,2005,1190500.0,701979.5697631836
100,2006,1151200.0,729612.6422729492
101,2007,1109900.0,760589.8307495117
102,2008,1090800.0,794984.2536621094
103,2009,1104400.0,832869.0297851562
104,2010,1104700.0,874317.2778320312
105,2011,1138000.0,919402.1164550781
106,2012,1131200.0,968196.6643066406
110,2016,1052100.0,1201934.3214111328
111,2017,1048000.0,1270374.1954956055
112,2018,1060400.0,1342962.4909057617
113,2019,1050100.0,1419772.3263549805
114,2020,1043100.0,1500876.8203735352
115,2021,1052300.0,1586349.0917358398
116,2022,1071000.0,1676262.2590332031
117,2023,1054500.0,1770689.441040039
