Species,year,count,Country
Cattle,2011,6836064,Chile
Cattle,2012,7444711,Chile
Cattle,2013,6938531,Chile
Cattle,2014,6755799,Chile
Cattle,2015,6727482,Chile
Cattle,2016,6529917,Chile
Cattle,2017,6546253,Chile
Cattle,2018,6622228,Chile
Cattle,2019,6931259,Chile
Cattle,2020,6944380,Chile
