species,year,population,Country
Beef Cattle,2020,17440393,BPS- Statistics Indonesia
Beef Cattle,2021,17977214,BPS- Statistics Indonesia
Beef Cattle,2022,18610148,BPS- Statistics Indonesia
Broiler,2020,2919516243,BPS- Statistics Indonesia
Broiler,2021,2889207954,BPS- Statistics Indonesia
Broiler,2022,3168325176,BPS- Statistics Indonesia
Cattle,2022,18610148,BPS- Statistics Indonesia
Cattle,2021,17977214,BPS- Statistics Indonesia
Cattle,2020,17440393,BPS- Statistics Indonesia
Cattle,2019,16930025,BPS- Statistics Indonesia
Cattle,2018,16432945,BPS- Statistics Indonesia
Cattle,2017,15948878,BPS- Statistics Indonesia
Cattle,2016,16004097,BPS- Statistics Indonesia
Cattle,2015,15419717,BPS- Statistics Indonesia
Cattle,2014,14726875,BPS- Statistics Indonesia
Cattle,2013,12686239,BPS- Statistics Indonesia
Cattle,2012,15980696,BPS- Statistics Indonesia
Cattle,2011,14824373,BPS- Statistics Indonesia
Cattle,2010,13581570,BPS- Statistics Indonesia
Cattle,2009,12759838,BPS- Statistics Indonesia
Cattle,2008,12256604,BPS- Statistics Indonesia
Cattle,2007,11514871,BPS- Statistics Indonesia
Cattle,2007,11514871,BPS- Statistics Indonesia
Cattle,2005,10569312,BPS- Statistics Indonesia
Cattle,2004,10532889,BPS- Statistics Indonesia
Cattle,2003,10504128,BPS- Statistics Indonesia
Cattle,2002,11297625,BPS- Statistics Indonesia
Cattle,2001,11137701,BPS- Statistics Indonesia
DairyCattle,2020,568000,BPS- Statistics Indonesia
DairyCattle,2021,582169,BPS- Statistics Indonesia
DairyCattle,2022,592897,BPS- Statistics Indonesia
Goats,2020,18689711,BPS- Statistics Indonesia
Goats,2021,18904347,BPS- Statistics Indonesia
Goats,2022,19397960,BPS- Statistics Indonesia
Sheep,2020,17523689,BPS- Statistics Indonesia
Sheep,2021,17523689,BPS- Statistics Indonesia
Sheep,2022,15615300,BPS- Statistics Indonesia
Layer,2020,345181214,BPS- Statistics Indonesia
Layer,2021,386125709,BPS- Statistics Indonesia
Layer,2022,378590549,BPS- Statistics Indonesia
NativeChicken,2020,305444937,BPS- Statistics Indonesia
NativeChicken,2021,306391596,BPS- Statistics Indonesia
NativeChicken,2022,314101311,BPS- Statistics Indonesia
Pig,2020,7622724,BPS- Statistics Indonesia
Pig,2021,7178088,BPS- Statistics Indonesia
Pig,2022,7280310,BPS- Statistics Indonesia
