year,source,species,population
1999,Stats Canada,Cattle,13211300
2000,Stats Canada,Cattle,13201300
2001,Stats Canada,Cattle,13608200
2002,Stats Canada,Cattle,13751500
2003,Stats Canada,Cattle,13466000
2004,Stats Canada,Cattle,14555000
2005,Stats Canada,Cattle,14925000
2006,Stats Canada,Cattle,14655000
2007,Stats Canada,Cattle,14135000
2008,Stats Canada,Cattle,13755000
2009,Stats Canada,Cattle,13030000
2010,Stats Canada,Cattle,12670000
2011,Stats Canada,Cattle,12155000
2012,Stats Canada,Cattle,12230000
2013,Stats Canada,Cattle,12240000
2014,Stats Canada,Cattle,12050000
2015,Stats Canada,Cattle,11640000
2016,Stats Canada,Cattle,11610000
2017,Stats Canada,Cattle,11510000
2018,Stats Canada,Cattle,11670000
2019,Stats Canada,Cattle,11670000
2020,Stats Canada,Cattle,11540000
2021,Stats Canada,Cattle,11515000
2022,Stats Canada,Cattle,11515000
2023,Stats Canada,Cattle,11295000
1906,Stats Canada,Sheep,2543000
1907,Stats Canada,Sheep,2350100
1908,Stats Canada,Sheep,2380300
1909,Stats Canada,Sheep,2327000
1910,Stats Canada,Sheep,2245600
1911,Stats Canada,Sheep,2174300
1912,Stats Canada,Sheep,2171500
1913,Stats Canada,Sheep,2333300
1914,Stats Canada,Sheep,2310300
1915,Stats Canada,Sheep,2358600
1916,Stats Canada,Sheep,2333900
1917,Stats Canada,Sheep,2421900
1918,Stats Canada,Sheep,2636400
1919,Stats Canada,Sheep,2948700
1920,Stats Canada,Sheep,3179100
1921,Stats Canada,Sheep,3200500
1922,Stats Canada,Sheep,3045300
1923,Stats Canada,Sheep,2600900
1924,Stats Canada,Sheep,2498800
1925,Stats Canada,Sheep,2628400
1926,Stats Canada,Sheep,2829700
1927,Stats Canada,Sheep,2967600
1928,Stats Canada,Sheep,3128300
1929,Stats Canada,Sheep,3350300
1930,Stats Canada,Sheep,3438000
1931,Stats Canada,Sheep,3627100
1932,Stats Canada,Sheep,3603900
1933,Stats Canada,Sheep,3307400
1934,Stats Canada,Sheep,3291400
1935,Stats Canada,Sheep,3223900
1936,Stats Canada,Sheep,3159400
1937,Stats Canada,Sheep,3071200
1938,Stats Canada,Sheep,3046800
1939,Stats Canada,Sheep,2911400
1940,Stats Canada,Sheep,2886600
1941,Stats Canada,Sheep,2839800
1942,Stats Canada,Sheep,2971800
1943,Stats Canada,Sheep,3107100
1944,Stats Canada,Sheep,3212900
1945,Stats Canada,Sheep,3032200
1946,Stats Canada,Sheep,2791700
1947,Stats Canada,Sheep,2464800
1948,Stats Canada,Sheep,2049900
1949,Stats Canada,Sheep,1772900
1950,Stats Canada,Sheep,1578600
1951,Stats Canada,Sheep,1461200
1952,Stats Canada,Sheep,1534000
1953,Stats Canada,Sheep,1592500
1954,Stats Canada,Sheep,1635600
1955,Stats Canada,Sheep,1634000
1956,Stats Canada,Sheep,1619700
1957,Stats Canada,Sheep,1628500
1958,Stats Canada,Sheep,1629500
1959,Stats Canada,Sheep,1608500
1960,Stats Canada,Sheep,1607000
1961,Stats Canada,Sheep,1548300
1962,Stats Canada,Sheep,1449000
1963,Stats Canada,Sheep,1346000
1964,Stats Canada,Sheep,1272000
1965,Stats Canada,Sheep,1132000
1966,Stats Canada,Sheep,1005500
1967,Stats Canada,Sheep,922000
1968,Stats Canada,Sheep,829200
1969,Stats Canada,Sheep,796000
1970,Stats Canada,Sheep,796000
1971,Stats Canada,Sheep,851300
1972,Stats Canada,Sheep,826800
1973,Stats Canada,Sheep,778800
1974,Stats Canada,Sheep,729800
1975,Stats Canada,Sheep,649600
1976,Stats Canada,Sheep,577200
1977,Stats Canada,Sheep,558600
1978,Stats Canada,Sheep,587200
1979,Stats Canada,Sheep,648700
1980,Stats Canada,Sheep,733800
1981,Stats Canada,Sheep,803200
1982,Stats Canada,Sheep,811900
1983,Stats Canada,Sheep,802900
1984,Stats Canada,Sheep,768800
1985,Stats Canada,Sheep,720300
1986,Stats Canada,Sheep,694900
1987,Stats Canada,Sheep,731300
1988,Stats Canada,Sheep,788900
1989,Stats Canada,Sheep,827500
1990,Stats Canada,Sheep,874400
1991,Stats Canada,Sheep,917800
1992,Stats Canada,Sheep,897100
1993,Stats Canada,Sheep,883000
1994,Stats Canada,Sheep,825600
1995,Stats Canada,Sheep,857600
1996,Stats Canada,Sheep,846700
1997,Stats Canada,Sheep,821500
1998,Stats Canada,Sheep,892000
1999,Stats Canada,Sheep,979000
2000,Stats Canada,Sheep,1105300
2001,Stats Canada,Sheep,1247700
2002,Stats Canada,Sheep,1252100
2003,Stats Canada,Sheep,1247200
2004,Stats Canada,Sheep,1240500
2005,Stats Canada,Sheep,1190500
2006,Stats Canada,Sheep,1151200
2007,Stats Canada,Sheep,1109900
2008,Stats Canada,Sheep,1090800
2009,Stats Canada,Sheep,1104400
2010,Stats Canada,Sheep,1104700
2011,Stats Canada,Sheep,1138000
2012,Stats Canada,Sheep,1131200
2013,Stats Canada,Sheep,1115600
2014,Stats Canada,Sheep,1073000
2015,Stats Canada,Sheep,1053700
2016,Stats Canada,Sheep,1052100
2017,Stats Canada,Sheep,1048000
2018,Stats Canada,Sheep,1060400
2019,Stats Canada,Sheep,1050100
2020,Stats Canada,Sheep,1043100
2021,Stats Canada,Sheep,1052300
2022,Stats Canada,Sheep,1071000
2023,Stats Canada,Sheep,1054500
