year,Species,population,source
2005,Cattle,6390200,Central Statistics Office Ireland
2005,Sheep,4257000,Central Statistics Office Ireland
2005,Pigs,1670800,Central Statistics Office Ireland
2006,Cattle,6340200,Central Statistics Office Ireland
2006,Sheep,3826300,Central Statistics Office Ireland
2007,Cattle,6247600,Central Statistics Office Ireland
2007,Sheep,3530500,Central Statistics Office Ireland
2007,Pigs,1500500,Central Statistics Office Ireland
2008,Cattle,6303900,Central Statistics Office Ireland
2008,Sheep,3422900,Central Statistics Office Ireland
2008,Pigs,1510700,Central Statistics Office Ireland
2009,Cattle,6231700,Central Statistics Office Ireland
2009,Sheep,3182600,Central Statistics Office Ireland
2009,Pigs,1501900,Central Statistics Office Ireland
2010,Cattle,5917700,Central Statistics Office Ireland
2010,Sheep,3122000,Central Statistics Office Ireland
2010,Pigs,1500400,Central Statistics Office Ireland
2011,Cattle,5925300,Central Statistics Office Ireland
2011,Sheep,3321300,Central Statistics Office Ireland
2011,Pigs,1552900,Central Statistics Office Ireland
2012,Cattle,6253200,Central Statistics Office Ireland
2012,Sheep,3430300,Central Statistics Office Ireland
2012,Pigs,1493500,Central Statistics Office Ireland
2013,Cattle,6309100,Central Statistics Office Ireland
2013,Sheep,3324100,Central Statistics Office Ireland
2013,Pigs,1469100,Central Statistics Office Ireland
2014,Cattle,6243100,Central Statistics Office Ireland
2014,Sheep,3324900,Central Statistics Office Ireland
2014,Pigs,1505700,Central Statistics Office Ireland
2015,Cattle,6422200,Central Statistics Office Ireland
2015,Sheep,3324800,Central Statistics Office Ireland
2015,Pigs,1474500,Central Statistics Office Ireland
2016,Cattle,6613400,Central Statistics Office Ireland
2016,Sheep,3438200,Central Statistics Office Ireland
2016,Pigs,1527800,Central Statistics Office Ireland
2017,Cattle,6673600,Central Statistics Office Ireland
2017,Sheep,3981800,Central Statistics Office Ireland
2017,Pigs,1616400,Central Statistics Office Ireland
2018,Cattle,6593500,Central Statistics Office Ireland
2018,Sheep,3798500,Central Statistics Office Ireland
2018,Pigs,1572200,Central Statistics Office Ireland
2019,Cattle,6559700,Central Statistics Office Ireland
2019,Sheep,3809400,Central Statistics Office Ireland
2019,Pigs,1613300,Central Statistics Office Ireland
2020,Cattle,6529400,Central Statistics Office Ireland
2020,Sheep,3877200,Central Statistics Office Ireland
2020,Pigs,1678600,Central Statistics Office Ireland
2021,Cattle,6649300,Central Statistics Office Ireland
2021,Sheep,4026400,Central Statistics Office Ireland
2021,Pigs,1713600,Central Statistics Office Ireland
2022,Cows,2372100,Central Statistics Office Ireland
2022,Sheep,4018000,Central Statistics Office Ireland
2022,Pigs,1570400,Central Statistics Office Ireland
